Lon,Lat,label,DEM,slope,slope_aspect,SPI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river
-0.6187146519373208,8.211724590957576,0,92.0,8.35122,114.44395,4168.96436,8.79093,0.07004,0.03258,WR,90.0,400.0
-0.6164688637270217,8.211724590957576,0,83.0,2.62328,45.0,1301.17749,9.95533,0.02324,-0.00106,WR,20.0,400.0
-0.6142230755167226,8.211724590957576,0,78.0,1.03755,63.43495,4629.02148,13.05285,0.0,0.0,WR,90.0,400.0
-0.6119772873064235,8.211724590957576,0,74.0,0.98432,225.0,8295.00781,13.73986,0.0,0.0,WR,90.0,400.0
-0.6097314990961245,8.211724590957576,1,75.0,0.0,,12315.87988,14.11535,0.0,0.0,WR,90.0,400.0
-0.6074857108858271,8.211724590957576,1,75.0,0.0,,16256.96094,14.39267,0.0,0.0,WR,80.0,400.0
-0.6052399226755281,8.211724590957576,0,75.0,0.0,,20198.04297,14.60955,0.0,0.0,WR,80.0,400.0
-0.602994134465229,8.211724590957576,1,75.0,0.0,,24631.75977,14.80786,0.0,0.0,WR,80.0,400.0
-0.6007483462549299,8.211724590957576,0,75.0,0.0,,28572.8418,14.95619,0.0,0.0,WR,80.0,400.0
-0.5985025580446308,8.211724590957576,0,75.0,0.0,,32513.92188,15.08534,0.0,0.0,WR,80.0,400.0
-0.5962567698343317,8.211724590957576,0,75.0,0.0,,36455.00391,15.1997,0.0,0.0,WR,80.0,400.0
-0.5940109816240327,8.211724590957576,0,75.0,0.0,,40396.08594,15.30231,0.0,0.0,WR,80.0,400.0
-0.641172534040308,8.209478802747277,0,93.0,2.49745,111.80141,1238.6842,10.00455,-0.02908,0.00319,WR,20.0,800.0
-0.638926745830009,8.209478802747277,0,85.0,1.46716,71.56505,727.38049,10.5369,-0.0234,-0.00107,WR,20.0,400.0
-0.6366809576197099,8.209478802747277,0,87.0,2.07443,63.43495,1172.8656,10.05915,0.00412,0.00213,WR,90.0,100.0
-0.6344351694094126,8.209478802747277,0,82.0,1.3527,30.96376,2682.44678,11.98101,-0.01125,-0.0021,WR,20.0,100.0
-0.6321893811991135,8.209478802747277,0,83.0,0.0,,363.69025,11.23005,0.0,0.00096,WR,90.0,400.0
-0.6299435929888144,8.209478802747277,0,82.0,3.98554,144.46233,22120.01563,12.75903,-0.01347,-0.0,WR,90.0,400.0
-0.6276978047785153,8.209478802747277,0,80.0,0.92804,180.0,1389.65808,9.88954,0.02351,-5e-05,WR,90.0,800.0
-0.6254520165682163,8.209478802747277,0,92.0,4.8664,115.34618,4293.99805,8.76138,0.01202,0.00103,WR,90.0,800.0
-0.6232062283579172,8.209478802747277,0,83.0,0.7337,161.56505,586.43292,10.7523,6e-05,-0.00211,WR,20.0,400.0
-0.6209604401476199,8.209478802747277,0,84.0,3.94507,130.23636,1951.7666,11.72627,0.0,-0.00319,WR,20.0,400.0
-0.6187146519373208,8.209478802747277,0,84.0,2.20014,288.43494,55033.91797,15.52522,-0.00074,-0.00107,WR,20.0,400.0
-0.6164688637270217,8.209478802747277,0,84.0,0.7337,71.56505,6343.2417,13.47217,-0.03429,-0.00208,WR,20.0,400.0
-0.6142230755167226,8.209478802747277,0,82.0,1.18295,11.30993,7623.62793,13.28831,0.00049,-0.00104,WR,20.0,400.0
-0.6119772873064235,8.209478802747277,0,79.0,0.7337,71.56505,4364.28271,13.68623,0.0,0.0,WR,90.0,400.0
-0.6097314990961245,8.209478802747277,0,75.0,1.03755,26.56505,10286.71387,13.84942,0.0,0.0,WR,90.0,400.0
-0.6074857108858271,8.209478802747277,1,75.0,0.0,,13793.78516,14.22854,0.0,0.0,WR,90.0,400.0
-0.6052399226755281,8.209478802747277,1,75.0,0.0,,18227.50195,14.50698,0.0,0.0,WR,80.0,400.0
-0.602994134465229,8.209478802747277,1,75.0,0.0,,22168.58203,14.70257,0.0,0.0,WR,80.0,400.0
-0.6007483462549299,8.209478802747277,1,75.0,0.0,,26109.66602,14.86609,0.0,0.0,WR,80.0,400.0
-0.5985025580446308,8.209478802747277,0,75.0,0.0,,30050.74609,15.0066,0.0,0.0,WR,80.0,400.0
-0.5962567698343317,8.209478802747277,0,75.0,0.0,,33991.82813,15.12977,0.0,0.0,WR,80.0,400.0
-0.5940109816240327,8.209478802747277,0,75.0,0.0,,37932.91016,15.23942,0.0,0.0,WR,80.0,400.0
-0.641172534040308,8.20723301453698,0,86.0,1.03755,243.43495,13372.72852,14.11141,-0.06555,-0.00319,WR,30.0,400.0
-0.638926745830009,8.20723301453698,0,83.0,2.20014,71.56505,2477.36841,10.68213,-0.01347,-0.0,WR,20.0,100.0
-0.6366809576197099,8.20723301453698,0,85.0,7.85309,176.63354,13785.70703,10.34411,0.00035,-0.00418,WR,20.0,400.0
-0.6344351694094126,8.20723301453698,0,82.0,0.32814,315.0,8945.59863,16.0113,-0.00037,-0.00101,WR,20.0,100.0
-0.6321893811991135,8.20723301453698,0,84.0,2.38751,29.0546,948.388,10.27159,0.0,0.00406,WR,20.0,400.0
-0.6299435929888144,8.20723301453698,0,83.0,3.94507,229.76364,329989.09375,15.04406,-0.01746,-0.00816,WR,20.0,800.0
-0.6276978047785153,8.20723301453698,0,82.0,5.59895,321.70984,6792.34473,11.05194,-0.96163,0.0,WR,20.0,800.0
-0.6254520165682163,8.20723301453698,0,86.0,1.03755,333.43494,514.33569,10.88348,0.06496,0.00318,WR,20.0,800.0
-0.6232062283579172,8.20723301453698,0,84.0,2.07443,26.56505,15668.24707,11.59844,-0.01633,-0.00213,WR,20.0,800.0
-0.6209604401476199,8.20723301453698,0,87.0,1.85559,0.0,1091.07056,10.13144,0.01955,0.00213,WR,20.0,800.0
-0.6187146519373208,8.20723301453698,0,88.0,6.10691,29.47589,2968.0293,9.1307,0.02157,0.01275,WR,20.0,800.0
-0.6164688637270217,8.20723301453698,0,89.0,1.46716,341.56506,586.43292,10.7523,-0.00577,0.00105,WR,20.0,800.0
-0.6142230755167226,8.20723301453698,0,84.0,1.99519,305.53766,586.43292,10.7523,0.12905,0.00529,WR,20.0,800.0
-0.6119772873064235,8.20723301453698,0,82.0,2.95064,45.0,5563.38867,10.6788,-0.00242,-0.00213,WR,20.0,800.0
-0.6097314990961245,8.20723301453698,0,78.0,2.96877,218.65981,14728.32813,12.10579,-0.01347,-0.0,WR,90.0,800.0
-0.6074857108858271,8.20723301453698,0,75.0,0.0,,2955.81128,12.69226,0.0,0.0,WR,90.0,800.0
-0.6052399226755281,8.20723301453698,1,75.0,0.0,,6896.89258,13.53653,0.0,0.0,WR,90.0,800.0
-0.602994134465229,8.20723301453698,1,75.0,0.0,,10837.97363,13.98769,0.0,0.0,WR,80.0,800.0
-0.6007483462549299,8.20723301453698,1,75.0,0.0,,14779.05566,14.29746,0.0,0.0,WR,80.0,800.0
-0.5985025580446308,8.20723301453698,1,75.0,0.0,,18720.13672,14.53362,0.0,0.0,WR,90.0,800.0
-0.5962567698343317,8.20723301453698,1,75.0,0.0,,22661.21875,14.72453,0.0,0.0,WR,80.0,800.0
-0.5940109816240327,8.20723301453698,0,75.0,0.0,,26602.30078,14.88477,0.0,0.0,WR,80.0,800.0
-0.641172534040308,8.204987226326681,0,84.0,1.64025,171.8699,3252.94434,11.78818,0.00333,-0.00412,WR,20.0,100.0
-0.638926745830009,8.204987226326681,0,84.0,0.92804,270.0,514.33569,10.88348,0.0,0.00105,WR,20.0,400.0
-0.6366809576197099,8.204987226326681,0,85.0,0.32814,315.0,29276.50195,17.19652,-0.0,-0.00108,WR,20.0,400.0
-0.6344351694094126,8.204987226326681,0,87.0,4.54907,14.74356,3457.92603,10.34865,-3e-05,-0.00316,WR,20.0,400.0
-0.6321893811991135,8.204987226326681,0,86.0,1.3527,59.03624,670.61169,10.61816,0.03201,0.00204,WR,20.0,800.0
-0.6299435929888144,8.204987226326681,0,88.0,1.67271,303.69006,829.34131,10.40572,0.0,-1e-05,WR,20.0,800.0
-0.6276978047785153,8.204987226326681,0,90.0,0.7337,288.43494,363.69025,11.23005,0.0,-0.00106,WR,20.0,1200.0
-0.6254520165682163,8.204987226326681,0,91.0,1.18295,11.30993,1172.86584,11.42987,0.0,-1e-05,WR,20.0,1200.0
-0.6232062283579172,8.204987226326681,0,92.0,1.96806,315.0,975.88324,10.24301,-7e-05,-1e-05,WR,20.0,800.0
-0.6209604401476199,8.204987226326681,0,92.0,2.56114,354.80557,1270.31519,9.97933,0.0056,0.00104,WR,20.0,800.0
-0.6187146519373208,8.204987226326681,0,92.0,1.76652,66.80141,1751.76416,11.0287,0.0,-0.00106,WR,20.0,1200.0
-0.6164688637270217,8.204987226326681,0,91.0,2.62328,45.0,3903.53223,11.03313,-0.01153,-0.00425,WR,20.0,1200.0
-0.6142230755167226,8.204987226326681,0,85.0,4.27048,49.3987,184497.3125,13.90176,-0.01562,-0.00742,WR,20.0,1200.0
-0.6119772873064235,8.204987226326681,0,83.0,1.3919,90.0,4830.37598,12.50865,-0.06505,-0.00314,WR,20.0,800.0
-0.6097314990961245,8.204987226326681,0,83.0,0.98432,135.0,487.94165,10.93616,0.01156,0.00212,WR,90.0,800.0
-0.6074857108858271,8.204987226326681,0,74.0,2.31903,53.1301,9200.71484,12.13079,0.0,0.0,WR,90.0,800.0
-0.6052399226755281,8.204987226326681,1,75.0,0.0,,7882.16309,13.66978,0.0,0.0,WR,90.0,800.0
-0.602994134465229,8.204987226326681,1,75.0,0.0,,11823.24512,14.07458,0.0,0.0,WR,80.0,800.0
-0.6007483462549299,8.204987226326681,1,75.0,0.0,,15764.32617,14.36193,0.0,0.0,WR,90.0,800.0
-0.5985025580446308,8.204987226326681,1,75.0,0.0,,19705.4082,14.58488,0.0,0.0,WR,80.0,800.0
-0.5962567698343317,8.204987226326681,0,75.0,0.0,,23646.49023,14.76707,0.0,0.0,WR,80.0,800.0
-0.5940109816240327,8.204987226326681,0,75.0,0.0,,27587.57031,14.92112,0.0,0.0,WR,80.0,800.0
-0.641172534040308,8.202741438116382,0,85.0,0.7337,198.43495,363.69025,11.23005,0.0,0.00104,WR,20.0,100.0
-0.638926745830009,8.202741438116382,0,87.0,3.94507,86.63354,260376.0,14.04443,-0.00018,-0.00211,WR,20.0,400.0
-0.6366809576197099,8.202741438116382,0,91.0,1.67271,33.69007,1028.67126,10.19033,0.02331,0.00104,WR,20.0,800.0
-0.6344351694094126,8.202741438116382,0,91.0,2.31903,0.0,727.38049,10.5369,0.04664,0.00424,WR,20.0,800.0
-0.6321893811991135,8.202741438116382,0,91.0,1.76652,336.80139,578725.0,16.7147,0.02258,-1e-05,WR,20.0,800.0
-0.6299435929888144,8.202741438116382,0,94.0,2.29574,45.0,1138.5304,10.08886,0.01134,0.0,WR,20.0,800.0
-0.6276978047785153,8.202741438116382,0,98.0,1.67271,56.30993,19074.84961,13.51122,-0.0657,-0.0032,WR,20.0,1200.0
-0.6254520165682163,8.202741438116382,0,98.0,1.64025,8.1301,1626.47217,11.10291,0.0,-0.00106,WR,20.0,1200.0
-0.6232062283579172,8.202741438116382,0,98.0,2.95064,315.0,1463.82458,9.83755,0.0167,0.00531,WR,20.0,1200.0
-0.6209604401476199,8.202741438116382,0,98.0,1.64025,315.0,12198.54102,13.10412,-0.01128,-0.0021,WR,20.0,1200.0
-0.6187146519373208,8.202741438116382,0,99.0,2.78216,270.0,1380.10718,9.89644,0.03465,0.0021,WR,20.0,1200.0
-0.6164688637270217,8.202741438116382,0,95.0,1.99519,54.46232,43531.15234,13.98284,-0.02328,-0.00319,WR,20.0,800.0
-0.6142230755167226,8.202741438116382,0,90.0,3.73606,82.87498,1854.46289,9.601,0.0,0.00211,WR,20.0,800.0
-0.6119772873064235,8.202741438116382,0,86.0,2.3649,281.30994,1172.8656,10.05915,-0.01175,0.00105,WR,20.0,800.0
