Flood_ID,Lon,Lat,Duration,Max_Duration,Event_Start_Date,Event_End_Date,Mean_Rainfall,Median_Rainfall,Max_Continuous_Rainy_Days,Max_Continuous_Rainfall,Max_Single_Day_Rainfall,Max_Rainfall_Increase,DEM,slope,slope_aspect,SPI,STI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river,label
ROI1_2320,-0.7491500311914745,8.329314061648821,7,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,67.20296287536621,44.80197525024414,26.104032516479492,75.0,0.0,,26109.66602,,14.86609,0.0,0.0,WR,80.0,2000.0,1
ROI1_2320,-0.7839148326869001,8.397226697128257,16,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,75.0,0.0,,3448.44629,,12.84565,0.0,0.0,WR,80.0,800.0,1
ROI1_2320,-0.7100733163322754,8.322846191603162,18,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,67.20296287536621,44.80197525024414,26.104032516479492,75.0,0.0,,72910.00781,,15.89263,0.0,0.0,WR,80.0,1200.0,1
ROI1_2320,-0.39395616785061627,8.245770740225707,9,26,2003-08-10,2003-09-05,8.70522585281959,0.0,2,69.61534690856934,41.76920700073242,33.15171813964844,75.0,0.98432,315.0,6357391.5,,20.37971,-0.01915,-1e-05,WR,90.0,100.0,1
ROI1_2320,-0.8391612226602501,8.440345830765995,2,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,75.0,0.0,,6896.89258,,13.53653,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.8510189844106275,8.436303411987456,1,26,2003-08-10,2003-09-05,7.366171690133902,0.0,2,56.18203353881836,35.183189392089844,31.212242126464844,79.0,0.98432,45.0,4391.47461,,13.10553,-0.01135,-0.00209,WR,90.0,100.0,1
ROI1_2320,-0.7661281900613339,8.450047635834485,15,26,2003-08-10,2003-09-05,8.127564210158129,0.0,4,63.079627990722656,43.61474609375,39.424766540527344,76.0,0.0,,16749.5957,,14.4225,0.0,0.0,WR,90.0,100.0,1
ROI1_2320,-0.7141157351108127,8.378362076161748,8,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,79.0,0.0,,18227.50195,,14.50698,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.5163067095476936,8.228253592185375,11,26,2003-08-10,2003-09-05,7.600595474243164,0.0,2,59.82269096374512,39.88179397583008,29.535579681396484,75.0,0.0,,19705.4082,,14.58488,0.0,0.0,WR,80.0,800.0,1
ROI1_2320,-0.7688231359136921,8.446544206226418,17,26,2003-08-10,2003-09-05,8.132007158719576,0.0,3,61.36130714416504,42.51144790649414,35.06360626220703,75.0,0.0,,44829.80469,,15.40641,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.8631462407462411,8.548952148616046,1,26,2003-08-10,2003-09-05,8.46991175871629,0.0,2,66.38677215576172,41.49173355102539,41.49173355102539,76.0,1.76652,66.80141,3503.52832,17.25906,11.71397,0.00028,-0.00211,WR,90.0,3000.0,1
ROI1_2320,-0.7019884787751991,8.370546733189908,5,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,80.0,0.0,,985.27039,,11.60416,-0.01116,-1e-05,WR,90.0,800.0,1
ROI1_2320,-0.644047142949491,8.32877507247835,4,26,2003-08-10,2003-09-05,7.96853861441979,0.0,2,67.14791107177734,44.76527404785156,25.056312561035156,75.0,0.0,,35962.36719,,15.1861,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.845359598120675,8.493436264057458,11,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984,75.0,0.0,,10837.97363,,13.98769,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.6801594173710956,8.328505577893115,20,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,69.47854614257812,46.31903076171875,26.310840606689453,75.0,0.0,,83255.35156,,16.02529,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.5949991284365641,8.159532472950232,10,26,2003-08-10,2003-09-05,8.064997416276197,0.0,3,67.14855766296387,44.76570510864258,26.59693717956543,75.0,0.0,,1432583.125,,18.87043,0.0,0.0,WR,90.0,100.0,1
ROI1_2320,-0.4448906444601928,8.164113880899242,15,26,2003-08-10,2003-09-05,8.025999527711134,0.0,2,60.79142761230469,39.16219711303711,39.16219711303711,75.0,0.0,,283757.875,,17.25136,0.0,0.0,WR,80.0,800.0,1
ROI1_2320,-0.47642151093278784,8.186751426059054,3,26,2003-08-10,2003-09-05,7.749442595701951,0.0,2,58.99742126464844,29.49871063232422,29.49871063232422,74.0,0.0,,574905.3125,,17.95742,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7521144716290689,8.349795650126747,20,26,2003-08-10,2003-09-05,7.445835406963642,0.0,2,63.75347900390625,42.5023193359375,29.385351181030273,75.0,0.0,,80299.53125,,15.98915,0.0,0.0,WR,80.0,1600.0,1
ROI1_2320,-0.3963816191177383,8.244153772714292,5,26,2003-08-10,2003-09-05,8.70522585281959,0.0,2,69.61534690856934,41.76920700073242,33.15171813964844,75.0,0.0,,22168.58203,,14.70257,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7893047243916165,8.33335648042736,10,26,2003-08-10,2003-09-05,7.445835406963642,0.0,2,63.75347900390625,42.5023193359375,29.385351181030273,75.0,0.0,,58623.58984,,15.67459,0.0,0.0,WR,80.0,100.0,1
ROI1_2320,-0.7887657352211459,8.398574170054436,17,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,79.0,1.85559,90.0,920.07159,8.43602,10.3019,0.03034,0.00171,WR,80.0,100.0,1
ROI1_2320,-0.5990415472151032,8.129349079403816,11,26,2003-08-10,2003-09-05,7.1424943116995,0.0,3,51.03672218322754,38.27754211425781,25.518362045288086,75.0,0.0,,57145.68359,,15.64907,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.5411002113893932,8.230948538037735,1,26,2003-08-10,2003-09-05,7.600595474243164,0.0,2,59.82269096374512,39.88179397583008,29.535579681396484,74.0,0.98432,45.0,182002.23438,,16.82644,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.7178886593041156,8.310449440682312,2,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,67.20296287536621,44.80197525024414,26.104032516479492,77.0,2.96877,51.34019,169115.89063,,14.12217,0.0,0.0,WR,90.0,100.0,1
ROI1_2320,-0.7071088758946811,8.351412617638163,19,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,75.0,0.0,,699541.9375,,18.15364,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.836735771393128,8.540328321888497,12,26,2003-08-10,2003-09-05,8.02625113267165,0.0,2,57.07662582397461,35.672889709472656,35.672889709472656,75.0,0.7337,341.56506,514.33569,,10.88348,0.0232,0.00166,WR,90.0,400.0,1
ROI1_2320,-0.6920171791214731,8.273259187919763,11,26,2003-08-10,2003-09-05,8.413818469414345,0.0,3,64.13628387451172,42.75752258300781,29.604080200195312,75.0,0.0,,30050.74609,,15.0066,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7095343271618031,8.374589151968445,5,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,81.0,0.65625,315.0,325.29449,8.09607,11.34162,0.04606,0.00205,WR,90.0,800.0,1
ROI1_2320,-0.6806984065415662,8.357341498513351,8,26,2003-08-10,2003-09-05,7.925996010120098,0.0,2,50.486684799194336,28.849533081054688,28.849533081054688,78.0,0.0,,15271.69043,,14.33022,0.0,0.0,WR,90.0,1200.0,1
ROI1_2320,-0.6311114028581688,8.154142581245514,6,26,2003-08-10,2003-09-05,6.945800671210656,0.0,3,45.46681308746338,30.311208724975586,29.34270477294922,75.0,0.0,,12315.87988,,14.11535,0.0,0.0,WR,90.0,400.0,1
